doi,publisher,journal,date,state,existingReason,title
10.1021/acscatal.6c04593,acs,ACS Catalysis,2026-09-18,fallback_only,live_r2_figure1_fallback,Glycopeptide Assembly via Selective Manganese(I)-Catalyzed C–H Alkenylations in Organic Media and in Water
10.1021/acs.orglett.6c03521,acs,Organic Letters,2026-09-08,fallback_only,figure_fallback:Scheme 2,Rh(I)/Bisoxazolinephosphine-Catalyzed Regio- and Enantioselective Allylation of Indenes
10.1038/s41586-026-11091-5,nature,Nature,2026-09-03,fallback_only,figure_fallback:Optimization,Ketone homologation via palladium-catalysed decarboxylative rearrangement
10.1038/s41586-026-11043-z,nature,Nature,2026-08-20,no_visual,user_observed_no_image,Dialkyl ether synthesis through heteroatom homolytic substitution
10.1038/s41586-026-10933-6,nature,Nature,2026-08-19,fallback_only,figure1_fallback,Synthesis of pyrroles from isoxazoles by an O-to-C skeletal edit
10.1038/s41586-026-11006-4,nature,Nature,2026-08-17,fallback_only,figure_fallback:Figure 2,Positional isomerisation of pyridine via nitrogen transposition
10.1038/s41586-026-11009-1,nature,Nature,2026-08-17,fallback_only,figure_fallback:Figure 1,Programmable remodelling of carbon–nitrogen connectivity in amines
10.1038/s41586-026-10991-w,nature,Nature,2026-08-11,fallback_only,figure_fallback:Figure 1,Phosphine-mediated azine C–H couplings with water and ammonia
10.1038/s41586-026-10931-8,nature,Nature,2026-07-28,fallback_only,figure1_fallback,Entangled dual-site migration through boracycle rearrangement
10.1038/s41586-026-10930-9,nature,Nature,2026-07-27,fallback_only,figure1_fallback,Pyridoxal photoenzymes for asymmetric radical–radical cross-couplings
10.1038/s41586-026-10897-7,nature,Nature,2026-07-15,fallback_only,figure1_fallback,Selectivity emerges from indiscriminate photoreduction
10.1038/s41929-026-01602-y,nature,Nature Catalysis,2026-09-02,fallback_only,figure1_fallback,Harnessing through-space orbital interactions for multicentred organosulfur catalysis
10.1038/s41929-026-01593-w,nature,Nature Catalysis,2026-08-14,fallback_only,figure1_fallback,Bimodal multiphoton catalysis via structural regeneration
10.1038/s41929-026-01589-6,nature,Nature Catalysis,2026-08-12,fallback_only,figure_fallback:Figure 4,Catalytic asymmetric intermolecular carbonyl–ene-type reactions of unactivated aldehydes and alkenes
10.1038/s41929-026-01576-x,nature,Nature Catalysis,2026-07-17,fallback_only,figure1_fallback,A tailored CoA ligase–N-acyltransferase cascade for on-DNA amide bond formation gives access to broad substrate scope
10.1038/s41929-026-01579-8,nature,Nature Catalysis,2026-07-13,fallback_only,figure_fallback:Figure 7,Unlocking ketene–Heck coupling via activation energy modulation in Pd catalysis
10.1038/s41929-026-01573-0,nature,Nature Catalysis,2026-07-10,fallback_only,figure1_fallback,Ligand-mediated radical orientation enables asymmetric cyanation of unstabilized alkyl C-radicals
10.1038/s41929-026-01578-9,nature,Nature Catalysis,2026-07-10,fallback_only,figure_fallback:Figure 2,Direct copper-catalysed deaminative cyanation of aliphatic primary amines
10.1038/s41929-026-01566-z,nature,Nature Catalysis,2026-07-09,fallback_only,figure1_fallback,Triple energy transfer-enabled dearomative cycloaddition/rearrangement cascade of bicyclic azaarenes to structurally complex products
10.1038/s41929-026-01560-5,nature,Nature Catalysis,2026-07-01,fallback_only,figure_fallback:Figure 2,Rapid screening platform for peptide prenyltransferases to diversify pseudo-natural prenylated peptides
10.1038/s41557-026-02204-8,nature,Nature Chemistry,2026-07-14,fallback_only,figure1_fallback,Programmable arene ring opening of phenols
10.1038/s41557-026-02206-6,nature,Nature Chemistry,2026-07-13,fallback_only,figure1_fallback,"Electrophilic amination-induced 1,2-boronate migration"
10.1038/s41557-026-02213-7,nature,Nature Chemistry,2026-07-13,fallback_only,figure1_fallback,Oxetane-to-azetidine skeletal editing
10.1038/s41557-026-02195-6,nature,Nature Chemistry,2026-07-08,fallback_only,figure1_fallback,Genetically targeted photocatalytic organic dyes for spatiotemporally controlled organic synthesis in specific living cells
10.1038/s41467-026-76235-7,nature,Nature Communications,2026-09-16,fallback_only,live_r2_figure1_fallback,Practical synthesis of 3-Oxa/Aza-bicyclo[3.1.1]heptanes from 3-Oxa/Aza[3.1.1]propellanes
10.1038/s41467-026-77715-6,nature,Nature Communications,2026-09-15,fallback_only,figure1_fallback,Iterative and data-driven ortholog mining enables reliable discovery of stereoselective ketoreductases
10.1038/s41467-026-77774-9,nature,Nature Communications,2026-09-15,fallback_only,figure1_fallback,Visible light-induced oxygen atom transfer into C−Cl bond of acyl chlorides for homolytic cleavage
10.1038/s41467-026-77739-y,nature,Nature Communications,2026-09-14,fallback_only,figure1_fallback,Difunctionalization of unsaturated hydrocarbons via EDA complexes to access pentafluorosulfanyl thioethers
10.1038/s41467-026-77436-w,nature,Nature Communications,2026-09-12,fallback_only,figure1_fallback,Catalytic Asymmetric Spiroannulation to Access Polycyclic Spiro Enones via Transient Axial-to-Point Chirality Induction and Transfer
10.1038/s41467-026-77633-7,nature,Nature Communications,2026-09-12,fallback_only,figure1_fallback,Reprogramming the Rossmann fold signature motif creates orthogonal redox biocatalysts
10.1038/s41467-026-77184-x,nature,Nature Communications,2026-09-04,fallback_only,figure1_fallback,Stereoselective synthesis of E-shaped double helicene analogues via organocatalytic intermolecular cycloaddition
10.1038/s41467-026-77437-9,nature,Nature Communications,2026-09-04,fallback_only,figure1_fallback,
10.1038/s41467-026-77468-2,nature,Nature Communications,2026-09-04,fallback_only,figure1_fallback,Visible light-mediated Alder-ene reaction of bicyclobutanes with cyclohexynes to access skipped dienes and skeletal remodeling to tetralines
10.1038/s41467-026-77482-4,nature,Nature Communications,2026-09-04,fallback_only,figure1_fallback,Cobalt-catalyzed Markovnikov-selective hydrophosphonylation of unactivated alkenes enabled by phthalimidyl phosphite reagents
10.1038/s41467-026-77336-z,nature,Nature Communications,2026-09-03,fallback_only,figure1_fallback,
10.1038/s41467-026-77403-5,nature,Nature Communications,2026-09-03,fallback_only,figure1_fallback,Excitation of acyclic trisubstituted alkenes via triplet energy transfer for diastereo- and enantioselective [2+2] photocycloaddition
10.1038/s41467-026-74378-1,nature,Nature Communications,2026-08-26,fallback_only,figure1_fallback,Copper-catalyzed enantioselective allylation of cyclic anhydrides for generation of multiple chiral centers
10.1038/s41467-026-76455-x,nature,Nature Communications,2026-08-25,fallback_only,figure1_fallback,
10.1038/s41467-026-77092-0,nature,Nature Communications,2026-08-25,fallback_only,figure1_fallback,
10.1038/s41467-026-77185-w,nature,Nature Communications,2026-08-25,fallback_only,figure1_fallback,
10.1038/s41467-026-76869-7,nature,Nature Communications,2026-08-22,fallback_only,figure1_fallback,Data-driven construction of an imine reductase library capable of broad-scope reductive amination at equimolar substrate concentrations
10.1038/s41467-026-76749-0,nature,Nature Communications,2026-08-20,fallback_only,figure1_fallback,
10.1038/s41467-026-76282-0,nature,Nature Communications,2026-08-19,fallback_only,figure1_fallback,
10.1038/s41467-026-76655-5,nature,Nature Communications,2026-08-17,fallback_only,figure1_fallback,
10.1038/s41467-026-76222-y,nature,Nature Communications,2026-08-03,fallback_only,figure1_fallback,Divergent concerted and stepwise cycloadditions via enantioselective cross-conjugated iminium-ion catalysis
10.1038/s41467-026-76150-x,nature,Nature Communications,2026-07-31,fallback_only,figure1_fallback,
10.1038/s41467-026-76290-0,nature,Nature Communications,2026-07-31,fallback_only,figure1_fallback,
10.1038/s41467-026-75280-6,nature,Nature Communications,2026-07-28,fallback_only,figure1_fallback,
10.1038/s41467-026-76125-y,nature,Nature Communications,2026-07-27,fallback_only,figure1_fallback,Enantioselective synthesis of ring-constrained biaryls via a twist-expand-seal strategy
10.1038/s41467-026-75992-9,nature,Nature Communications,2026-07-25,fallback_only,figure1_fallback,Substituent-rebound skeletal editing for precise boron-to-carbon single-atom swapping
10.1038/s41467-026-75854-4,nature,Nature Communications,2026-07-24,fallback_only,figure1_fallback,Nickel catalysis enables chemoselectivity in radiation chemistry
10.1038/s41467-026-76036-y,nature,Nature Communications,2026-07-24,fallback_only,figure1_fallback,
10.1038/s41467-026-75858-0,nature,Nature Communications,2026-07-22,fallback_only,figure1_fallback,
10.1038/s41467-026-75774-3,nature,Nature Communications,2026-07-21,fallback_only,figure1_fallback,
10.1038/s41467-026-75768-1,nature,Nature Communications,2026-07-20,fallback_only,figure1_fallback,
10.1038/s41467-026-75769-0,nature,Nature Communications,2026-07-20,fallback_only,figure1_fallback,
10.1038/s41467-026-74319-y,nature,Nature Communications,2026-07-14,fallback_only,figure1_fallback,"Catalyst-controlled site-selective dehydrogenation, a stepping stone for C–H oxidations in complex terpenes synthesis"
10.1038/s41467-026-75499-3,nature,Nature Communications,2026-07-11,fallback_only,figure1_fallback,
10.1038/s41467-026-75338-5,nature,Nature Communications,2026-07-08,fallback_only,figure1_fallback,
10.1038/s41467-026-75059-9,nature,Nature Communications,2026-07-02,fallback_only,figure1_fallback,Intracellular assembly of artificial enzymes for cytoplasmic enantioselective Mannich reactions
10.1038/s44160-026-01147-9,nature,Nature Synthesis,2026-09-10,fallback_only,figure1_fallback,Enantioselective synthesis of chiral 2-azaspiro[3.3]heptanes and their application as piperidine bioisosteres
10.1038/s44160-026-01149-7,nature,Nature Synthesis,2026-09-02,fallback_only,figure1_fallback,Modular assembly of bioisosteric bridged aza-frameworks via ring strain release
10.1038/s44160-026-01140-2,nature,Nature Synthesis,2026-08-11,fallback_only,figure1_fallback,Orthogonal hydrogenation of alkenes enabled by multifunctional phosphine
10.1038/s44160-026-01128-y,nature,Nature Synthesis,2026-07-24,fallback_only,figure1_fallback,Electrochemical C(sp3)–C(sp3) cross-coupling of alcohols
10.1038/s44160-026-01106-4,nature,Nature Synthesis,2026-07-10,fallback_only,figure1_fallback,
10.1038/s44160-026-01116-2,nature,Nature Synthesis,2026-07-09,fallback_only,figure1_fallback,
10.1038/s44160-026-01096-3,nature,Nature Synthesis,2026-07-02,fallback_only,figure1_fallback,Hyperspace exploration using robotics for discovery of mechanistically distinct transformations...
10.1126/science.aej0194,science,Science,2026-08-27,fallback_only,figure_fallback:Figure 4,Iron-catalyzed [1+1+1] cyclopropanation by sequential coupling of an ester to two carbenes
10.1126/science.aef0766,science,Science,2026-08-06,fallback_only,figure_fallback:Figure 4,Vicinal disubstitution of alkyl C–X synthons via alkene radical cation generation
10.1002/anie.3574678,wiley,Angew,2026-09-08,fallback_only,figure_fallback:Figure 4,Photoredox Nickel-Catalyzed Dehydrogenative Alkoxycarbonylation of Benzylic C─H Bonds
10.1002/anie.4947785,wiley,Angew,2026-08-05,fallback_only,figure_fallback:Figure 1,2-CF₂H(D)-Imidazolium Salts: A Reagent Platform for Bis(Deuterio)Difluoromethylation of Alkenes Under Copper/Photoredox Dual Catalysis
